0.70	27.00	-0.10	0.56	0.09	0.34	0.16	-0.10	-0.39	0.31	-0.64	1.80	1.31	111600.00	4.90	35.00	10.00	5.00	600.94
0.70	33.90	-0.24	0.11	0.01	0.22	-0.30	-0.08	-0.46	0.66	-0.60	21.10	1.53	14900.00	4.90	33.70	20.00	3.00	2079.31
0.67	24.00	-0.09	0.33	0.21	0.22	0.10	-0.03	-0.35	0.54	-0.75	20.00	1.45	42000.00	5.40	28.10	4.00	1.00	427.62
0.70	29.10	0.12	0.52	0.01	0.16	0.01	0.10	-0.20	0.34	-0.74	3.60	2.18	19900.00	5.30	48.20	916.00	67.00	125890.95
0.74	25.20	-0.09	0.52	-0.06	0.22	-0.21	-0.02	-0.53	0.68	-0.91	3.00	1.24	5700.00	8.60	26.80	26.00	2.00	4065.98
0.69	27.00	-0.06	0.34	0.03	0.05	-0.07	0.01	-0.35	0.51	-0.72	17.20	1.67	17700.00	4.90	31.90	3.00	1.00	628.18
0.78	20.20	0.04	0.51	0.21	0.31	0.23	0.03	-0.22	0.38	-0.76	3.70	1.66	53600.00	6.00	30.30	133.00	34.00	16938.50
0.78	27.00	0.05	0.61	0.21	0.18	0.03	0.09	-0.31	0.56	-0.88	3.90	1.87	38900.00	7.20	36.20	56.00	13.00	4614.53
0.85	20.30	0.03	0.85	0.18	0.22	0.22	-0.04	-0.41	0.44	-0.90	4.00	1.72	71800.00	6.90	26.80	50.00	23.00	5199.84
0.68	27.00	0.14	0.38	0.04	0.11	0.01	0.12	-0.08	0.22	-0.53	6.20	2.40	13300.00	2.60	45.00	182.00	16.00	31376.67
0.72	26.90	0.07	0.61	-0.01	0.17	-0.10	0.13	-0.33	0.72	-0.97	5.70	1.32	29500.00	5.20	30.80	405.00	71.00	38265.23
0.73	31.40	0.11	0.48	0.12	0.27	0.08	0.10	-0.18	0.37	-0.67	6.70	1.31	30400.00	5.80	33.90	116.00	38.00	10418.47
